city,zip,beds,baths,sqft,class,price
EL_DORADO_HILLS,z95762,3,3,1873,Residential,352000
SACRAMENTO,z95831,3,3,1638,Residential,370000
RANCHO_MURIETA,z95683,4,3,2734,Residential,370500
WILTON,z95693,3,2,2110,Residential,372000
ELK_GROVE,z95757,5,3,3164,Residential,375000
SACRAMENTO,z95835,5,3,3599,Residential,381300
SACRAMENTO,z95831,4,2,2054,Residential,381942
ANTELOPE,z95843,4,2,1830,Residential,387731
SACRAMENTO,z95814,3,3,1627,Residential,391000
ELK_GROVE,z95757,4,3,3440,Residential,394470
GREENWOOD,z95635,3,2,2846,Residential,395000
ELK_GROVE,z95624,4,3,2359,Residential,400186
SACRAMENTO,z95831,3,3,2052,Residential,415000
ELK_GROVE,z95757,5,3,3433,Residential,425000
RANCHO_CORDOVA,z95742,5,3,3615,Residential,430000
ELK_GROVE,z95624,6,4,3714,Residential,445000
FOLSOM,z95630,5,3,2687,Residential,460000
ELK_GROVE,z95757,4,3,2724,Residential,461000
ELK_GROVE,z95757,4,3,3440,Residential,489332
ELK_GROVE,z95757,5,4,3508,Residential,510000
FOLSOM,z95630,4,2,2462,Residential,539000
FOLSOM,z95630,5,3,2900,Residential,585000
EL_DORADO_HILLS,z95762,4,4,3705,Residential,600000
EL_DORADO_HILLS,z95762,4,3,3527,Residential,606238
SACRAMENTO,z95864,3,3,2325,Residential,660000
EL_DORADO_HILLS,z95762,6,5,4878,Residential,830000
CITRUS_HEIGHTS,z95621,2,1,795,Condo,69000
SACRAMENTO,z95817,4,2,1099,Residential,70000
ELK_GROVE,z95624,2,1,840,Condo,71000
SACRAMENTO,z95815,2,1,800,Residential,78000
SACRAMENTO,z95824,2,1,746,Residential,78400
SACRAMENTO,z95822,3,1,1067,Residential,80000
SACRAMENTO,z95815,4,2,1316,Residential,89000
SACRAMENTO,z95815,3,1,1337,Residential,90000
SACRAMENTO,z95824,2,1,868,Residential,90000
SACRAMENTO,z95824,3,1,924,Residential,92000
SACRAMENTO,z95820,2,1,610,Residential,93675
RANCHO_MURIETA,z95683,3,2,1516,Residential,97750
SACRAMENTO,z95815,2,1,1220,Residential,98000
ELK_GROVE,z95758,1,1,722,Condo,98000
SACRAMENTO,z95864,3,1,1643,Residential,99000
ELK_GROVE,z95758,1,1,722,Condo,100000
GALT,z95632,3,1,1080,Residential,106716
SACRAMENTO,z95820,3,1,1039,Residential,111000
NORTH_HIGHLANDS,z95660,3,1,1051,Residential,111000
SACRAMENTO,z95842,2,2,967,Residential,114800
RANCHO_CORDOVA,z95670,3,1,1098,Residential,120108
SACRAMENTO,z95824,3,1,1050,Residential,123225
SACRAMENTO,z95838,3,2,1110,Residential,123750
NORTH_HIGHLANDS,z95660,3,1,888,Residential,125000
SACRAMENTO,z95822,3,2,1120,Residential,125000
ELVERTA,z95626,3,2,1080,Residential,126000
NORTH_HIGHLANDS,z95660,3,1,957,Residential,129000
SACRAMENTO,z95838,2,1,952,Residential,134000
SACRAMENTO,z95838,3,2,1211,Residential,135000
SACRAMENTO,z95815,3,2,1264,Residential,135500
SACRAMENTO,z95833,3,1,1080,Residential,140000
GALT,z95632,3,2,1266,Residential,140000
FAIR_OAKS,z95628,2,2,994,Condo,142500
SACRAMENTO,z95834,3,2,1202,Residential,143500
ELK_GROVE,z95758,2,2,1039,Condo,145000
SACRAMENTO,z95820,2,1,722,Residential,145000
SACRAMENTO,z95828,4,2,1448,Residential,145000
SACRAMENTO,z95828,3,2,1188,Residential,145000
NORTH_HIGHLANDS,z95660,4,2,1183,Residential,146000
SACRAMENTO,z95822,3,1,1320,Residential,148500
SACRAMENTO,z95828,3,2,1117,Residential,149000
SACRAMENTO,z95828,3,2,1364,Residential,150000
SACRAMENTO,z95823,4,2,1310,Residential,150000
ELK_GROVE,z95758,2,2,1006,Residential,152000
CITRUS_HEIGHTS,z95621,3,2,1104,Residential,156000
SACRAMENTO,z95825,2,1,810,Residential,156000
ELK_GROVE,z95624,2,2,1123,Residential,156000
SACRAMENTO,z95842,2,1,904,Residential,157788
CITRUS_HEIGHTS,z95621,3,2,1156,Residential,161653
SACRAMENTO,z95820,2,1,1321,Residential,161829
ANTELOPE,z95843,3,2,1392,Residential,165000
SACRAMENTO,z95823,3,2,1439,Residential,168000
SACRAMENTO,z95842,3,2,1159,Residential,169000
RANCHO_CORDOVA,z95670,3,2,1671,Residential,175000
SACRAMENTO,z95823,3,2,1740,Residential,176250
SACRAMENTO,z95823,3,2,1265,Residential,179000
ANTELOPE,z95843,2,2,1007,Residential,180000
ELK_GROVE,z95758,3,2,1716,Residential,180400
ELK_GROVE,z95758,4,2,1685,Residential,182000
RANCHO_CORDOVA,z95670,4,2,1829,Residential,184500
ELK_GROVE,z95758,3,2,1555,Residential,185000
CARMICHAEL,z95608,4,2,1120,Residential,189000
CITRUS_HEIGHTS,z95621,3,2,1137,Residential,194000
SACRAMENTO,z95826,3,1,1174,Residential,195000
ANTELOPE,z95843,3,2,1393,Residential,200000
CAMERON_PARK,z95682,3,1.5,1415,Residential,201000
LINCOLN,z95648,4,2,2126,Residential,202500
SACRAMENTO,z95828,3,2,1289,Residential,205000
SACRAMENTO,z95838,4,2,1799,Residential,205000
PLACERVILLE,z95667,3,2,1308,Residential,205000
SACRAMENTO,z95823,4,3,1953,Residential,205000
SACRAMENTO,z95820,2,1,723,Residential,207000
CAMERON_PARK,z95682,2,1.5,1376,Residential,210000
PLACERVILLE,z95667,2,1,948,Residential,211500
CITRUS_HEIGHTS,z95621,4,2,1578,Residential,215000
CITRUS_HEIGHTS,z95610,3,2,1317,Residential,215000
SACRAMENTO,z95833,3,3,1360,Residential,215500
SACRAMENTO,z95824,3,1,1360,Residential,222381
SACRAMENTO,z95833,3,2,1522,Residential,225000
SACRAMENTO,z95825,4,2,1751,Residential,225000
ELK_GROVE,z95624,3,2,1465,Residential,225000
SACRAMENTO,z95826,4,2,1605,Residential,228000
RIO_LINDA,z95673,4,2,1475,Residential,229665
MEADOW_VISTA,z95722,3,1,1216,Residential,230000
FAIR_OAKS,z95628,2,2,1315,Residential,230000
ELK_GROVE,z95757,3,2,1567,Residential,230000
SACRAMENTO,z95835,3,2,1776,Residential,234000
SACRAMENTO,z95835,3,2,2187,Residential,235000
SACRAMENTO,z95822,3,1,1291,Residential,236250
FOLSOM,z95630,2,2,1129,Condo,240000
ELK_GROVE,z95624,3,2.5,1453,Residential,242000
SACRAMENTO,z95842,3,2,1503,Residential,245000
SACRAMENTO,z95828,4,3,2491,Residential,245000
SACRAMENTO,z95816,2,1,1269,Residential,245000
SACRAMENTO,z95835,3,2.5,1718,Residential,250000
ORANGEVALE,z95662,3,2,1176,Residential,250000
ORANGEVALE,z95662,4,2,1456,Residential,250000
ROSEVILLE,z95678,3,2,1498,Residential,250000
ANTELOPE,z95843,3,2,1574,Residential,255000
CITRUS_HEIGHTS,z95610,5,4,2085,Multi_Family,256054
SACRAMENTO,z95829,3,2,2170,Residential,257729
ELK_GROVE,z95758,4,2,1595,Residential,260000
ANTELOPE,z95843,3,2,1567,Residential,261000
LINCOLN,z95648,4,3,2943,Residential,261800
SACRAMENTO,z95822,4,2,1253,Residential,264469
ANTELOPE,z95843,4,3,1768,Residential,265000
SACRAMENTO,z95835,4,2.5,1980,Residential,270000
SACRAMENTO,z95835,4,3,2030,Residential,270000
SACRAMENTO,z95835,3,2,1531,Residential,270000
SACRAMENTO,z95834,4,3,1750,Residential,270000
ELK_GROVE,z95624,4,3,1653,Residential,275000
ELK_GROVE,z95758,4,2,2056,Residential,275000
ELK_GROVE,z95624,4,3,2494,Residential,280000
FAIR_OAKS,z95628,3,2,1450,Residential,286013
SACRAMENTO,z95834,4,2,2169,Residential,292000
ROSEVILLE,z95747,3,2,1440,Residential,292000
FAIR_OAKS,z95628,3,2,1527,Residential,293993
ROSEVILLE,z95678,3,2,1401,Residential,294000
SACRAMENTO,z95838,3,2,1411,Residential,296769
LINCOLN,z95648,4,4,2990,Residential,297500
GOLD_RIVER,z95670,2,2.5,1533,Condo,300000
RIO_LINDA,z95673,3,1,1284,Residential,300000
GALT,z95632,4,3,2307,Residential,300000
PLACERVILLE,z95667,3,2,1329,Residential,300000
SACRAMENTO,z95835,4,2,1910,Residential,300500
GOLD_RIVER,z95670,3,2,1981,Residential,305000
ROSEVILLE,z95747,3,2.5,1829,Residential,306500
SACRAMENTO,z95835,3,2,1665,Residential,312500
LINCOLN,z95648,5,3,3072,Residential,315000
SACRAMENTO,z95823,4,2,2205,Residential,319789
LINCOLN,z95648,2,2,1449,Residential,330000
FOLSOM,z95630,3,2,1258,Residential,330000
ELK_GROVE,z95757,3,2,2575,Residential,331000
SACRAMENTO,z95820,2,1,539,Residential,334000
RANCHO_CORDOVA,z95670,4,3,2208,Residential,336000
SACRAMENTO,z95819,3,1,1108,Residential,339000
FOLSOM,z95630,4,2,1595,Residential,339000
GALT,z95632,4,2,2159,Residential,345000
PLACERVILLE,z95667,4,3,2295,Residential,350000
ROSEVILLE,z95678,3,2,1838,Residential,356000
SACRAMENTO,z95823,4,2,1900,Residential,361745
SACRAMENTO,z95811,4,2,1718,Residential,361948
ELK_GROVE,z95757,5,3,3389,Residential,370000
ROCKLIN,z95677,4,2,2190,Residential,380000
ELK_GROVE,z95757,5,4,3260,Residential,385000
CAMERON_PARK,z95682,3,2,2016,Residential,399000
ROCKLIN,z95765,4,2,2607,Residential,402000
ELK_GROVE,z95757,4,3,2724,Residential,406026
GALT,z95632,5,4,3746,Residential,420000
RANCHO_CORDOVA,z95742,5,4,3969,Residential,425000
RANCHO_MURIETA,z95683,4,2,3192,Residential,425000
SACRAMENTO,z95834,3,3,2829,Residential,433500
LINCOLN,z95648,5,4,3928,Residential,436746
EL_DORADO_HILLS,z95762,5,3,3577,Residential,438700
SACRAMENTO,z95811,2,1,1247,Residential,445000
FOLSOM,z95630,4,2,2581,Residential,450000
SACRAMENTO,z95841,3,1,2068,Residential,460000
EL_DORADO_HILLS,z95762,3,2,2129,Residential,460000
ELK_GROVE,z95624,4,3,3992,Residential,460000
SACRAMENTO,z95835,4,4,3397,Residential,465000
SACRAMENTO,z95835,5,3,3881,Residential,471750
ROCKLIN,z95765,5,4,3167,Residential,480000
CARMICHAEL,z95608,2,2,1598,Residential,484000
PLACERVILLE,z95667,4,3,1929,Residential,485000
ELK_GROVE,z95757,4,3,3070,Residential,495000
ROSEVILLE,z95678,4,2.5,2272,Residential,500500
AUBURN,z95603,3,3,2791,Residential,504000
EL_DORADO_HILLS,z95762,5,3,3117,Residential,541000
WILTON,z95693,3,2,2544,Residential,560000
SACRAMENTO,z95829,5,3,3984,Residential,572500
CARMICHAEL,z95608,4,2,2222,Residential,582000
ROSEVILLE,z95661,4,3,3838,Residential,613401
ROSEVILLE,z95747,4,3.5,3059,Residential,614000
FAIR_OAKS,z95628,5,5,2846,Residential,680000
SACRAMENTO,z95819,5,2,2484,Residential,699000
LOOMIS,z95650,4,4,1624,Residential,839000
SACRAMENTO,z95842,2,1,840,Condo,40000
SACRAMENTO,z95825,1,1,484,Condo,48000
SACRAMENTO,z95815,3,1,970,Residential,61500
SACRAMENTO,z95817,2,1,623,Residential,62050
SACRAMENTO,z95820,2,1,932,Residential,65000
SACRAMENTO,z95838,2,1,796,Residential,65000
SACRAMENTO,z95820,2,1,834,Residential,68000
SACRAMENTO,z95820,2,1,834,Residential,68000
SACRAMENTO,z95841,2,1,924,Condo,77000
SACRAMENTO,z95842,2,1,795,Condo,82732
SACRAMENTO,z95838,3,1,1250,Residential,84000
SACRAMENTO,z95820,2,1,984,Residential,84675
SACRAMENTO,z95828,3,1,1013,Residential,85000
SACRAMENTO,z95822,3,1,1012,Residential,90000
SACRAMENTO,z95826,2,1,795,Condo,90000
SACRAMENTO,z95838,2,2,918,Residential,91000
SACRAMENTO,z95838,3,1,1082,Residential,95000
SACRAMENTO,z95842,2,1,964,Residential,97500
SACRAMENTO,z95815,4,2,1404,Multi_Family,100000
SACRAMENTO,z95826,1,1,625,Condo,100000
CITRUS_HEIGHTS,z95621,2,1,888,Residential,101000
SACRAMENTO,z95815,4,2,1120,Residential,102750
NORTH_HIGHLANDS,z95660,3,1,1331,Residential,112500
SACRAMENTO,z95821,3,1,1014,Residential,113000
SACRAMENTO,z95820,4,2,1448,Residential,114000
SACRAMENTO,z95838,3,1,966,Residential,114000
SACRAMENTO,z95823,2,1,779,Residential,114750
ANTELOPE,z95843,2,2,836,Condo,115000
ROSEVILLE,z95678,2,2,1100,Condo,115000
SACRAMENTO,z95832,3,1,1174,Residential,116100
NORTH_HIGHLANDS,z95660,3,2,1207,Residential,119250
SACRAMENTO,z95828,4,4,1995,Multi_Family,120000
SACRAMENTO,z95820,2,1,804,Residential,120000
SACRAMENTO,z95834,2,2,958,Condo,120000
SACRAMENTO,z95823,3,2,1366,Residential,120108
SACRAMENTO,z95823,2,2,901,Residential,121500
SACRAMENTO,z95815,3,1,696,Residential,121725
GALT,z95632,3,2,1080,Residential,122000
SACRAMENTO,z95822,3,2,1104,Residential,123000
SACRAMENTO,z95825,2,1,972,Residential,125000
SACRAMENTO,z95833,4,2,1390,Residential,125573
ELVERTA,z95626,4,2,1354,Residential,126714
SACRAMENTO,z95826,2,1,795,Condo,126960
ROSEVILLE,z95678,2,1,780,Condo,127000
SACRAMENTO,z95828,4,2,1587,Residential,127500
NORTH_HIGHLANDS,z95660,3,2,1209,Residential,130000
SACRAMENTO,z95824,2,1,1139,Residential,133105
RIO_LINDA,z95673,2,2,1690,Residential,136500
CARMICHAEL,z95608,3,2,1245,Condo,139500
ELVERTA,z95626,3,2,1416,Residential,140000
SACRAMENTO,z95832,3,2,1300,Residential,140800
SACRAMENTO,z95822,3,2,1120,Residential,145000
SACRAMENTO,z95828,4,2,1590,Residential,147000
SACRAMENTO,z95828,3,2,1407,Residential,149600
SACRAMENTO,z95820,5,2,1516,Residential,150000
ROSEVILLE,z95747,2,2,1057,Condo,150000
SACRAMENTO,z95822,3,2,1646,Residential,150000
SACRAMENTO,z95823,3,2,1676,Residential,155000
SACRAMENTO,z95838,3,2,1370,Residential,155435
SACRAMENTO,z95838,3,2,1370,Residential,155500
CITRUS_HEIGHTS,z95621,4,2,1351,Residential,158000
NORTH_HIGHLANDS,z95660,3,2,1152,Residential,158000
SACRAMENTO,z95823,3,2,1452,Residential,160000
ROSEVILLE,z95678,2,1,990,Residential,160000
CITRUS_HEIGHTS,z95621,2,2,1162,Residential,164000
RIO_LINDA,z95673,3,2,1182,Residential,164000
ELK_GROVE,z95758,2,2,1112,Residential,165000
GALT,z95632,3,2,1100,Residential,167000
CITRUS_HEIGHTS,z95621,4,2,1280,Residential,167293
CITRUS_HEIGHTS,z95621,4,2,1280,Residential,167293
SACRAMENTO,z95820,3,1,1039,Residential,168000
SACRAMENTO,z95842,3,2,1159,Residential,170000
SACRAMENTO,z95833,4,2,1917,Residential,170000
SACRAMENTO,z95827,3,2,1520,Residential,170000
GALT,z95632,3,2,1204,Residential,174000
SACRAMENTO,z95841,3,2,1120,Residential,178000
SACRAMENTO,z95823,3,2,1436,Residential,180000
SACRAMENTO,z95826,3,2,1451,Residential,180000
SACRAMENTO,z95828,4,2,1638,Residential,180000
CARMICHAEL,z95608,2,2,1000,Condo,182000
ROSEVILLE,z95661,3,1,1152,Residential,188325
ROSEVILLE,z95747,3,2,1154,Residential,191500
SACRAMENTO,z95838,3,2,1353,Residential,192000
CITRUS_HEIGHTS,z95621,3,2,1329,Residential,192700
SACRAMENTO,z95826,3,1,1356,Residential,195000
SACRAMENTO,z95838,3,2,1505,Residential,197654
SACRAMENTO,z95842,3,1,1009,Residential,198000
SACRAMENTO,z95823,3,2,1144,Residential,200345
SACRAMENTO,z95864,2,1,930,Residential,203000
SACRAMENTO,z95841,4,2,1766,Residential,207000
SACRAMENTO,z95828,4,3,1940,Residential,208000
ELK_GROVE,z95758,4,2,1776,Residential,210000
CITRUS_HEIGHTS,z95621,3,1,1258,Residential,212000
SACRAMENTO,z95828,4,2,1872,Residential,213675
ELK_GROVE,z95758,2,2,1112,Residential,213697
SACRAMENTO,z95833,4,2,1856,Residential,215000
SACRAMENTO,z95816,4,3,1939,Residential,215000
ROSEVILLE,z95678,3,1,998,Residential,215100
ROSEVILLE,z95678,3,2,1758,Residential,217500
SACRAMENTO,z95838,3,2,2142,Residential,218000
SACRAMENTO,z95831,2,1,950,Residential,220000
ELK_GROVE,z95758,4,3,1739,Residential,221000
ELK_GROVE,z95624,3,2,1516,Residential,222900
ANTELOPE,z95843,3,1,988,Residential,223139
GALT,z95632,4,2,1555,Residential,225500
SACRAMENTO,z95820,3,2,1212,Residential,228327
SACRAMENTO,z95833,4,2,1871,Residential,230000
SACRAMENTO,z95828,3,2,1302,Residential,230000
SACRAMENTO,z95841,2,1,756,Condo,230522
ANTELOPE,z95843,4,3,2026,Residential,231200
SACRAMENTO,z95831,3,2,1375,Residential,232000
SACRAMENTO,z95834,2,2,1250,Condo,232500
SACRAMENTO,z95822,3,1,1058,Residential,233641
ANTELOPE,z95843,3,2,1187,Residential,234000
SACRAMENTO,z95831,2,2,1324,Residential,234500
SACRAMENTO,z95828,4,3,1936,Residential,235000
RANCHO_CORDOVA,z95670,5,4,2382,Multi_Family,236000
FOLSOM,z95630,3,2,1427,Residential,236073
SACRAMENTO,z95835,3,2,1678,Condo,238000
GALT,z95632,4,2,1798,Residential,238861
ANTELOPE,z95843,4,3,2652,Residential,239700
SACRAMENTO,z95829,4,2,1816,Residential,240000
SACRAMENTO,z95834,5,3,3076,Residential,240000
ELK_GROVE,z95758,4,2,1844,Residential,241000
SACRAMENTO,z95823,3,2,1306,Residential,245000
SACRAMENTO,z95833,4,3,2447,Residential,246000
SACRAMENTO,z95828,4,2,1176,Residential,247234
RIO_LINDA,z95673,4,2,1182,Residential,247480
RIO_LINDA,z95673,3,1,1160,Residential,249862
SACRAMENTO,z95835,3,2,1424,Residential,251000
ORANGEVALE,z95662,4,2,1574,Residential,252155
ANTELOPE,z95843,3,2,1830,Residential,254172
ELK_GROVE,z95624,4,2,1724,Residential,258000
AUBURN,z95603,2,2,1255,Condo,260000
ELK_GROVE,z95758,3,3,1718,Residential,261000
SACRAMENTO,z95835,4,3,2175,Residential,261000
SACRAMENTO,z95835,4,2,1904,Residential,261000
EL_DORADO_HILLS,z95762,4,2,1808,Residential,262500
RANCHO_CORDOVA,z95742,4,2,2711,Residential,266000
CARMICHAEL,z95608,3,1,1713,Residential,266000
ELK_GROVE,z95757,3,2,1457,Residential,270000
ELK_GROVE,z95757,4,3,2724,Residential,274425
ROCKLIN,z95765,3,2,1847,Residential,274500
SACRAMENTO,z95828,3,2,1468,Residential,275336
SACRAMENTO,z95835,4,3,2550,Residential,277980
GALT,z95632,4,2,1928,Residential,280000
SACRAMENTO,z95814,3,3,1922,Residential,284686
CITRUS_HEIGHTS,z95621,3,2,1343,Residential,284893
ROCKLIN,z95677,3,2,1510,Residential,285000
AUBURN,z95603,2,2,960,Multi_Family,285000
CARMICHAEL,z95608,4,2,1559,Residential,285000
EL_DORADO,z95623,3,2,1624,Residential,289000
SACRAMENTO,z95832,5,3,2992,Residential,295000
ELK_GROVE,z95758,4,2,2109,Residential,296000
RANCHO_CORDOVA,z95670,4,2,1524,Residential,296056
SACRAMENTO,z95828,3,2,1248,Residential,297359
SACRAMENTO,z95823,4,2,1876,Residential,299940
LINCOLN,z95648,5,3,2489,Residential,304000
RANCHO_CORDOVA,z95670,4,3,1851,Residential,305000
ROSEVILLE,z95747,3,2.5,1829,Residential,307000
SACRAMENTO,z95835,4,2,2218,Residential,311328
SACRAMENTO,z95828,3,2,1394,Residential,313138
SACRAMENTO,z95828,3,2,1410,Residential,316630
ELK_GROVE,z95758,5,3,3468,Residential,320000
ANTELOPE,z95843,5,3,2346,Residential,320000
ANTELOPE,z95843,5,3,2347,Residential,325000
SACRAMENTO,z95834,4,2,1659,Residential,328578
ELK_GROVE,z95757,3,3,2442,Residential,331000
RANCHO_CORDOVA,z95742,4,3,2590,Residential,331500
SACRAMENTO,z95833,4,2,2155,Residential,340000
SACRAMENTO,z95838,3,2,1673,Residential,344755
SACRAMENTO,z95828,3,2,1810,Residential,345746
ELK_GROVE,z95757,4,2,2789,Residential,351000
GALT,z95632,4,2,1606,Residential,353767
GALT,z95632,5,3.5,3499,Residential,355000
SACRAMENTO,z95835,4,2,2166,Residential,356035
SACRAMENTO,z95816,2,2,1119,Condo,360000
SACRAMENTO,z95835,4,2,1871,Residential,360552
SACRAMENTO,z95835,3,2,1800,Residential,362305
